filename,lat,long,lat_long
New__York,40.66,-73.94,"40.66, -73.94"
Los_Angeles,34.02,-118.41,"34.02, -118.41"
Chicago,41.84,-87.68,"41.84, -87.68"
Houston,29.79,-95.39,"29.79, -95.39"
Phoenix,33.57,-112.09,"33.57, -112.09"
Philadelphia,40.01,-75.13,"40.01, -75.13"
San_Antonio,29.46,-98.52,"29.46, -98.52"
San_Diego,32.81,-117.14,"32.81, -117.14"
Dallas,32.79,-96.77,"32.79, -96.77"
Jacksonville,30.34,-81.66,"30.34, -81.66"
Austin,30.3,-97.75,"30.3, -97.75"
Fort_Worth,32.78,-97.35,"32.78, -97.35"
San_Jose,37.3,-121.81,"37.3, -121.81"
Columbus,39.99,-82.99,"39.99, -82.99"
Charlotte,35.21,-80.83,"35.21, -80.83"
Indianapolis,39.78,-86.15,"39.78, -86.15"
San_Francisco,37.73,-123.03,"37.73, -123.03"
Seattle,47.62,-122.35,"47.62, -122.35"
Denver,39.76,-104.88,"39.76, -104.88"
Oklahoma_City,35.47,-97.51,"35.47, -97.51"
Nashville,36.17,-86.79,"36.17, -86.79"
Washington,38.9,-77.02,"38.9, -77.02"
El_Paso,31.85,-106.43,"31.85, -106.43"
Las_Vegas,36.23,-115.26,"36.23, -115.26"
Boston,42.34,-71.02,"42.34, -71.02"
Detroit,42.38,-83.1,"42.38, -83.1"
Portland,45.54,-122.65,"45.54, -122.65"
Louisville,38.17,-85.65,"38.17, -85.65"
Memphis,35.11,-89.97,"35.11, -89.97"
Baltimore,39.3,-76.61,"39.3, -76.61"
Milwaukee,43.06,-87.97,"43.06, -87.97"
Albuquerque,35.1,-106.65,"35.1, -106.65"
Tucson,32.15,-110.87,"32.15, -110.87"
Fresno,36.78,-119.79,"36.78, -119.79"
Sacramento,38.57,-121.47,"38.57, -121.47"
Mesa,33.4,-111.72,"33.4, -111.72"
Atlanta,33.76,-84.42,"33.76, -84.42"
Kansas_City,39.12,-94.56,"39.12, -94.56"
Colorado_Springs,38.87,-104.76,"38.87, -104.76"
Omaha,41.26,-96.05,"41.26, -96.05"
Raleigh,35.83,-78.64,"35.83, -78.64"
Miami,25.78,-80.21,"25.78, -80.21"
Virginia_Beach,36.78,-76.03,"36.78, -76.03"
Long_Beach,33.78,-118.17,"33.78, -118.17"
Oakland,37.77,-122.23,"37.77, -122.23"
Minneapolis,44.96,-93.27,"44.96, -93.27"
Bakersfield,35.35,-119.04,"35.35, -119.04"
Tulsa,36.13,-95.9,"36.13, -95.9"
Tampa,27.97,-82.47,"27.97, -82.47"
Arlington,32.7,-97.12,"32.7, -97.12"
Dover,39.12775,-75.469944,
,37.69,-97.35,"37.69, -97.35"
,39.7,-104.72,"39.7, -104.72"
,30.05,-89.93,"30.05, -89.93"
,41.48,-81.68,"41.48, -81.68"
,21.32,-157.85,"21.32, -157.85"
,33.86,-117.76,"33.86, -117.76"
,36.01,-115.04,"36.01, -115.04"
,28.41,-81.25,"28.41, -81.25"
,38.04,-84.46,"38.04, -84.46"
,37.98,-121.31,"37.98, -121.31"
,33.94,-117.39,"33.94, -117.39"
,27.75,-97.17,"27.75, -97.17"
,33.68,-117.77,"33.68, -117.77"
,39.14,-84.51,"39.14, -84.51"
,33.74,-117.88,"33.74, -117.88"
,40.72,-74.17,"40.72, -74.17"
,44.95,-93.1,"44.95, -93.1"
,40.44,-79.98,"40.44, -79.98"
,36.1,-79.83,"36.1, -79.83"
,35.98,-78.9,"35.98, -78.9"
,40.81,-96.68,"40.81, -96.68"
,40.71,-74.06,"40.71, -74.06"
,33.05,-96.75,"33.05, -96.75"
,61.17,-149.28,"61.17, -149.28"
,36.28,-115.09,"36.28, -115.09"
,38.64,-90.24,"38.64, -90.24"
,43.09,-89.43,"43.09, -89.43"
,33.28,-111.85,"33.28, -111.85"
,33.31,-111.74,"33.31, -111.74"
,39.55,-119.85,"39.55, -119.85"
,42.89,-78.86,"42.89, -78.86"
,32.63,-117.02,"32.63, -117.02"
,41.09,-85.14,"41.09, -85.14"
,33.57,-101.89,"33.57, -101.89"
,41.66,-83.58,"41.66, -83.58"
,27.77,-82.64,"27.77, -82.64"
,27.56,-99.49,"27.56, -99.49"
,32.86,-96.97,"32.86, -96.97"
,36.68,-76.3,"36.68, -76.3"
,33.53,-112.19,"33.53, -112.19"
,36.1,-80.26,"36.1, -80.26"
,27.28,-80.39,"27.28, -80.39"
,33.68,-111.86,"33.68, -111.86"
,32.91,-96.63,"32.91, -96.63"
,43.6,-116.23,"43.6, -116.23"
,36.92,-76.24,"36.92, -76.24"
,47.67,-117.43,"47.67, -117.43"
,37.53,-77.48,"37.53, -77.48"
,37.49,-121.94,"37.49, -121.94"
,34.78,-86.53,"34.78, -86.53"
,33.16,-96.82,"33.16, -96.82"
,26.65,-81.99,"26.65, -81.99"
,34.41,-118.49,"34.41, -118.49"
,34.14,-117.29,"34.14, -117.29"
,47.25,-122.46,"47.25, -122.46"
,25.87,-80.3,"25.87, -80.3"
,30.44,-91.13,"30.44, -91.13"
,37.64,-121,"37.64, -121"
,34.11,-117.46,"34.11, -117.46"
,33.2,-96.66,"33.2, -96.66"
,33.92,-117.21,"33.92, -117.21"
,41.57,-93.61,"41.57, -93.61"
,35.08,-78.97,"35.08, -78.97"
,40.78,-111.93,"40.78, -111.93"
,40.95,-73.87,"40.95, -73.87"
,42.27,-71.81,"42.27, -71.81"
,43.17,-77.62,"43.17, -77.62"
,43.54,-96.73,"43.54, -96.73"
,34.72,-92.36,"34.72, -92.36"
,35.2,-101.83,"35.2, -101.83"
,30.46,-84.25,"30.46, -84.25"
,32.69,-97.02,"32.69, -97.02"
,32.51,-84.87,"32.51, -84.87"
,33.37,-82.07,"33.37, -82.07"
,33.79,-112.31,"33.79, -112.31"
,34.2,-119.21,"34.2, -119.21"
,35.97,-83.95,"35.97, -83.95"
,38.89,-94.69,"38.89, -94.69"
,33.53,-86.8,"33.53, -86.8"
,42.96,-85.66,"42.96, -85.66"
,45.64,-122.6,"45.64, -122.6"
,32.35,-86.27,"32.35, -86.27"
,33.7,-118,"33.7, -118"
,41.82,-71.42,"41.82, -71.42"
,26,-97.45,"26, -97.45"
,33.39,-111.93,"33.39, -111.93"
,41.08,-81.52,"41.08, -81.52"
,34.18,-118.25,"34.18, -118.25"
,35.07,-85.25,"35.07, -85.25"
,26.14,-80.15,"26.14, -80.15"
,37.08,-76.52,"37.08, -76.52"
,30.67,-88.1,"30.67, -88.1"
,34.04,-117.6,"34.04, -117.6"
,36.57,-87.35,"36.57, -87.35"
,35.78,-78.82,"35.78, -78.82"
,38.41,-121.38,"38.41, -121.38"
,32.47,-93.79,"32.47, -93.79"
,44.06,-123.12,"44.06, -123.12"
,41.76,-88.29,"41.76, -88.29"
,44.92,-123.02,"44.92, -123.02"
,38.45,-122.71,"38.45, -122.71"
,34.12,-117.56,"34.12, -117.56"
,26.01,-80.34,"26.01, -80.34"
,40.55,-105.06,"40.55, -105.06"
,37.19,-93.29,"37.19, -93.29"
,33.22,-117.31,"33.22, -117.31"
,33.78,-117.96,"33.78, -117.96"
,34.69,-118.18,"34.69, -118.18"
,35.85,-86.42,"35.85, -86.42"
,34.59,-118.11,"34.59, -118.11"
,33.86,-117.57,"33.86, -117.57"
,31.08,-97.73,"31.08, -97.73"
,36.69,-121.63,"36.69, -121.63"
,38.77,-121.32,"38.77, -121.32"
,33.22,-97.14,"33.22, -97.14"
,33.67,-112.45,"33.67, -112.45"
,32.81,-83.69,"32.81, -83.69"
,40.91,-74.16,"40.91, -74.16"
,39.7,-105.12,"39.7, -105.12"
,37.63,-122.1,"37.63, -122.1"
,32.83,-79.97,"32.83, -79.97"
,38.82,-77.08,"38.82, -77.08"
,26.03,-80.16,"26.03, -80.16"
,42.12,-72.54,"42.12, -72.54"
,39.12,-94.74,"39.12, -94.74"
,37.39,-122.03,"37.39, -122.03"
,47.6,-122.16,"47.6, -122.16"
,41.52,-88.15,"41.52, -88.15"
,41.75,-88.16,"41.75, -88.16"
,33.13,-117.07,"33.13, -117.07"
,41.19,-73.2,"41.19, -73.2"
,32,-81.15,"32, -81.15"
,38.88,-94.82,"38.88, -94.82"
,32.76,-96.59,"32.76, -96.59"
,29.65,-95.15,"29.65, -95.15"
,26.22,-98.25,"26.22, -98.25"
,42.26,-89.06,"42.26, -89.06"
,29.68,-82.35,"29.68, -82.35"
,43.04,-76.14,"43.04, -76.14"
,34.06,-117.76,"34.06, -117.76"
,36.33,-119.33,"36.33, -119.33"
,39.92,-104.94,"39.92, -104.94"
,31.56,-97.19,"31.56, -97.19"
,32.32,-90.21,"32.32, -90.21"
,34.04,-80.91,"34.04, -80.91"
,40.08,-74.2,"40.08, -74.2"
,33.89,-117.93,"33.89, -117.93"
,33.83,-118.36,"33.83, -118.36"
,34.53,-117.35,"34.53, -117.35"
,32.02,-102.11,"32.02, -102.11"
,33.79,-117.86,"33.79, -117.86"
,25.97,-80.34,"25.97, -80.34"
,37.05,-76.3,"37.05, -76.3"
,42.49,-83.03,"42.49, -83.03"
,41.08,-73.55,"41.08, -73.55"
,41.97,-91.68,"41.97, -91.68"
,40.67,-74.19,"40.67, -74.19"
,27.96,-80.66,"27.96, -80.66"
,39.78,-84.2,"39.78, -84.2"
,41.31,-72.92,"41.31, -72.92"
,26.27,-80.26,"26.27, -80.26"
,43.61,-116.4,"43.61, -116.4"
,40.69,-112.01,"40.69, -112.01"
,34.16,-118.14,"34.16, -118.14"
,33.05,-96.98,"33.05, -96.98"
,47.39,-122.21,"47.39, -122.21"
,42.58,-83.03,"42.58, -83.03"
,46.86,-96.83,"46.86, -96.83"
,32.99,-96.9,"32.99, -96.9"
,37.36,-121.97,"37.36, -121.97"
,30.53,-97.66,"30.53, -97.66"
,35.24,-97.35,"35.24, -97.35"
,38.95,-92.33,"38.95, -92.33"
,32.45,-99.74,"32.45, -99.74"
,33.95,-83.37,"33.95, -83.37"
,29.56,-95.32,"29.56, -95.32"
,36.83,-119.68,"36.83, -119.68"
,39.03,-95.69,"39.03, -95.69"
,30.59,-96.3,"30.59, -96.3"
,34.27,-118.75,"34.27, -118.75"
,40.59,-75.48,"40.59, -75.48"
,26.75,-80.13,"26.75, -80.13"
,34.19,-118.87,"34.19, -118.87"
,38.11,-122.26,"38.11, -122.26"
,34.21,-77.89,"34.21, -77.89"
,44.02,-92.48,"44.02, -92.48"
,37.97,-122,"37.97, -122"
,28.06,-81.95,"28.06, -81.95"
,32.92,-80.07,"32.92, -80.07"
,30.21,-92.03,"30.21, -92.03"
,39.83,-105.15,"39.83, -105.15"
,39.09,-94.35,"39.09, -94.35"
,45.79,-108.55,"45.79, -108.55"
,38.26,-122.03,"38.26, -122.03"
,41.77,-72.68,"41.77, -72.68"
,42.28,-83.73,"42.28, -83.73"
,36.04,-95.78,"36.04, -95.78"
,37.87,-122.3,"37.87, -122.3"
,42.38,-71.12,"42.38, -71.12"
,32.97,-96.71,"32.97, -96.71"
,37.98,-121.8,"37.98, -121.8"
,35.99,-79.99,"35.99, -79.99"
,27.98,-82.77,"27.98, -82.77"
,29.49,-95.11,"29.49, -95.11"
,31.88,-102.35,"31.88, -102.35"
,42.98,-71.44,"42.98, -71.44"
,37.99,-87.53,"37.99, -87.53"
,41.56,-73.04,"41.56, -73.04"
,40.6,-112,"40.6, -112"
,32.33,-106.79,"32.33, -106.79"
,39.88,-105.06,"39.88, -105.06"
,42.64,-71.32,"42.64, -71.32"
,43.58,-116.56,"43.58, -116.56"
,37.95,-122.36,"37.95, -122.36"
,26.24,-80.13,"26.24, -80.13"
,33.13,-117.28,"33.13, -117.28"
,33.69,-117.18,"33.69, -117.18"
,40.25,-111.65,"40.25, -111.65"
,42.04,-88.33,"42.04, -88.33"
,40.41,-104.77,"40.41, -104.77"
,39.79,-89.64,"39.79, -89.64"
,30.08,-94.15,"30.08, -94.15"
,42.71,-84.56,"42.71, -84.56"
,33.57,-117.19,"33.57, -117.19"
,33.25,-112.37,"33.25, -112.37"
,33.11,-96.67,"33.11, -96.67"
,33.23,-87.53,"33.23, -87.53"
,47.95,-122.19,"47.95, -122.19"
,38.27,-104.61,"38.27, -104.61"
,29.7,-98.12,"29.7, -98.12"
,33.66,-84.57,"33.66, -84.57"
,25.95,-80.24,"25.95, -80.24"
,45.5,-122.44,"45.5, -122.44"
,33.49,-117.13,"33.49, -117.13"
,35.29,-106.7,"35.29, -106.7"
,40.75,-89.62,"40.75, -89.62"
,32.32,-95.31,"32.32, -95.31"
,39.57,-119.72,"39.57, -119.72"
,35.39,-80.64,"35.39, -80.64"
,34.93,-120.44,"34.93, -120.44"
,34.27,-119.25,"34.27, -119.25"
,33.43,-112.64,"33.43, -112.64"
,33.94,-118.13,"33.94, -118.13"
,29.59,-95.63,"29.59, -95.63"
,33.67,-117.91,"33.67, -117.91"
,30.32,-95.49,"30.32, -95.49"
,47.66,-117.23,"47.66, -117.23"
,26.08,-80.28,"26.08, -80.28"
,45.53,-122.94,"45.53, -122.94"
,34,-117.47,"34, -117.47"
,39.59,-104.87,"39.59, -104.87"
,40.5,-74.35,"40.5, -74.35"
,40.02,-105.25,"40.02, -105.25"
,42.31,-83.21,"42.31, -83.21"
,26.32,-98.16,"26.32, -98.16"
,33.93,-84.37,"33.93, -84.37"
,44.52,-87.99,"44.52, -87.99"
,34.06,-117.91,"34.06, -117.91"
,42.08,-71.02,"42.08, -71.02"
,37.08,-113.56,"37.08, -113.56"
,44.06,-121.31,"44.06, -121.31"
,47.48,-122.19,"47.48, -122.19"
,38.92,-94.38,"38.92, -94.38"
,39.96,-85.97,"39.96, -85.97"
,34.07,-118.03,"34.07, -118.03"
,41.68,-86.27,"41.68, -86.27"
,34.12,-117.39,"34.12, -117.39"
,40.56,-74.29,"40.56, -74.29"
,32.8,-116.96,"32.8, -116.96"
,33.96,-118.34,"33.96, -118.34"
,34.19,-118.33,"34.19, -118.33"
,33.91,-98.53,"33.91, -98.53"
,38.36,-121.97,"38.36, -121.97"
,39.97,-86.15,"39.97, -86.15"
,29.54,-81.24,"29.54, -81.24"
,36.07,-94.17,"36.07, -94.17"
,42.26,-71.01,"42.26, -71.01"
,37.56,-122.31,"37.56, -122.31"
,39.76,-121.82,"39.76, -121.82"
,42.47,-70.96,"42.47, -70.96"
,42.67,-73.8,"42.67, -73.8"
,32.52,-114.52,"32.52, -114.52"
,41.66,-70.94,"41.66, -70.94"
,36.7,-76.63,"36.7, -76.63"
,34.4,-117.32,"34.4, -117.32"
,41.56,-90.6,"41.56, -90.6"